company;date;price
Saudi Electricity Company (SEC);10/22/2023;17.12
Saudi Electricity Company (SEC);10/23/2023;17.06
Saudi Electricity Company (SEC);10/24/2023;16.96
Saudi Electricity Company (SEC);10/25/2023;17.4
Saudi Electricity Company (SEC);10/26/2023;17.48
Saudi Electricity Company (SEC);10/29/2023;17.76
Saudi Electricity Company (SEC);10/30/2023;17.64
Saudi Electricity Company (SEC);10/31/2023;17.8
Saudi Electricity Company (SEC);11/01/2023;17.7
Saudi Electricity Company (SEC);11/02/2023;17.44
Saudi Electricity Company (SEC);11/05/2023;17.48
Saudi Electricity Company (SEC);11/06/2023;17.4
Saudi Electricity Company (SEC);11/07/2023;17.28
Saudi Electricity Company (SEC);11/08/2023;17.02
Saudi Electricity Company (SEC);11/09/2023;17.3
Saudi Electricity Company (SEC);11/12/2023;18.34
Saudi Electricity Company (SEC);11/13/2023;18.52
Saudi Electricity Company (SEC);11/14/2023;18.32
Saudi Electricity Company (SEC);11/15/2023;18.84
Saudi Electricity Company (SEC);11/16/2023;18.5
Saudi Electricity Company (SEC);11/19/2023;18.6
Saudi Electricity Company (SEC);11/20/2023;18.46
Saudi Electricity Company (SEC);11/21/2023;18.5
Saudi Electricity Company (SEC);11/22/2023;18.66
Saudi Electricity Company (SEC);11/23/2023;18.66
Saudi Electricity Company (SEC);11/26/2023;18.44
Saudi Electricity Company (SEC);11/27/2023;18.1
Saudi Electricity Company (SEC);11/28/2023;18.08
Saudi Electricity Company (SEC);11/29/2023;17.94
Saudi Electricity Company (SEC);11/30/2023;18.06
Saudi Electricity Company (SEC);12/03/2023;18.4
Saudi Electricity Company (SEC);12/04/2023;18.36
Saudi Electricity Company (SEC);12/05/2023;18.54
Saudi Electricity Company (SEC);12/06/2023;18.22
Saudi Electricity Company (SEC);12/07/2023;18.28
Saudi Electricity Company (SEC);12/10/2023;18.32
Saudi Electricity Company (SEC);12/11/2023;18.24
Saudi Electricity Company (SEC);12/12/2023;18.32
Saudi Electricity Company (SEC);12/13/2023;18
Saudi Electricity Company (SEC);12/14/2023;18.22
Saudi Electricity Company (SEC);12/17/2023;18.3
Saudi Electricity Company (SEC);12/18/2023;18.34
Saudi Electricity Company (SEC);12/19/2023;18.96
Saudi Electricity Company (SEC);12/20/2023;18.84
Saudi Electricity Company (SEC);12/21/2023;18.8
Saudi Electricity Company (SEC);12/24/2023;18.84
Saudi Electricity Company (SEC);12/25/2023;18.84
Saudi Electricity Company (SEC);12/26/2023;18.84
Saudi Electricity Company (SEC);12/27/2023;18.98
Saudi Electricity Company (SEC);12/28/2023;18.96
Saudi Electricity Company (SEC);12/31/2023;18.98
Saudi Electricity Company (SEC);01/01/2024;19.12
Saudi Electricity Company (SEC);01/02/2024;19.48
Saudi Electricity Company (SEC);01/03/2024;19.28
Saudi Electricity Company (SEC);01/04/2024;19.4
Saudi Electricity Company (SEC);01/07/2024;19.62
Saudi Electricity Company (SEC);01/08/2024;19.52
Saudi Electricity Company (SEC);01/09/2024;19.66
Saudi Electricity Company (SEC);01/10/2024;19.4
Saudi Electricity Company (SEC);01/11/2024;19.08
